id	Newspaper_Title	Infection_Location	Infect_Lat_Long	Reporting_Location	Report_Lat_Long	Date	Link	Translation	Language	Tags_Keywords	Image_Link
15	La Época 	Madrid				1889-12-03T00:00:00Z	http://hemerotecadigital.bne.es/issue.vm?id=0000521659&page=2&search=influenza+epidemia++grippe+dengue&lang=en	THE DENGUE FEVER. It has not been long since the Pirea announced the extraordinarily rapid spread of the disease known as dengue. Shortly there after, Greece and the Ottoman Empire were affected by the same disease. Today the telegramas announced that 150,000 people are sick with the dengue in the Russian capital.  Historically, the disease now known as dengue was called the flu in Spain, break bones in England, and pantomime or polka fever in Italy.  In 1867 this disease spread to many cities in Southern SPain, among those was Cádiz. The people of Cádiz witnesses that the hallmark symptom of the disease was a certain cuddliness or affection among the victims. Examining their good humor they called the infirm “dengosas”, of the disease dengue, a mane which is generally known today. The English believe that the word dengue comes from the English word dandy, but this is not true because the disease was named by the people of Cádiz in 1867.      Some doctors have confirmed that the dengue has always existed but has never before revealed itself with such epidemic intensity or rapid development as it has recently. The journalist Gaberts confirmed that in Cairo in 1779 the dengue spread with the characteristics of an epidemic for the first time. The next year it appeared in Philadelphia where Dr. Rush studied the principle symptoms. In 1827 in South Asia and 1873 in China the dengue spread to all countries and paid no respect to race. Meaning, the disease spread with equal ease in one country as another. However, the greatest number of attacks were in Calcutta, Madras, Pondicherry, Bombay, and Cochinchina. The dengue is one of the most contagious diseases that exists. Although a pathological mibrobe has not yet been discovered, there is sufficient evidence to believe one exists.  The following are the characteristic symptoms of the disease. The average incubation period is four days. After, the disease attacks suddenly without any outward warning signs. An intense fever beings suddenly with intense joint pain and swelling of the extremities. A blotchy red skin rash will break out almost instantly. After two days the fever will decrease noticeably and the rash will reappear beginning the weakness and lack of appetite which the people of Cádiz call “dengosa”. Sometimes the disease lasts a week or even a month. Dengue causes almost no mortality. Of the 8,069 sick in India, only 47 died according to Dr. Martialis who added that they lived in the worst possible hygienic conditions. In Aden, only three of the 450 who were sick died. In Pondicherry none of the 227 sick died. According to Dr. Neilly many elderly people have died not from the dengue but from its effects on their organs, such as brain hemorrhages and pulmonary blockages. It can be said that the dengue causes for or five deaths for every 1,000 affected. It can be confirmed that the dengue is the fastest spreading epidemic. in 1872 there were 20,000 cases in a population of 30,000 in Saint-Déuis. In 1857 there 14,000 in Cádiz. In 1878, 1,900 of the 2,000 inhabitants of Ismaila were affected. In 1872 there were millions attacked. And finally, the Russian capital, which has known the disease for only several days, has already seen 150,000 cases.      Dr. Mary Durand recommends preparing salicylic acid and massaging sore joints to prevent the spread of the disease. Dr. Mahé has said its not unlikely that the disease will spread to Toulon and Marseille and from there to Spain. Prepare yourselves therefore, to become victims of dengue.    	Spanish		
16	The Times	St. Petersburg		London		1889-12-03T00:00:00Z		The outbreak of influenza which is reported from St. Petersburg, Moscow, Siberia, and many other parts of Russian territory, and which has caught within its toils members of the Imperial family, the English Ambassador, and our own Correspondent, points to the possible reopening in this and other countries, of a curious page of medical history. The name ‘influenza’ appears to have been first given to what is technically ‘epidemic catarrh,’ in Italy, in the course of outbreaks at Venice and Milan in 1741, and was a manifest survival of the superstitions which, four centuries earlier, attributed the Plague to the influenza of three great planets, Saturn, Jupiter, and Mars, entering into conjunction with Aquarius on the 24th of March 1345, of which still exist among ourselves in the currency of the word ‘lunacy,’ as a description of the condition of the insane. In other countries the frequent importation of the disease from Russia has caused it to be called ‘Russische katarrh’ in Germany, ‘Catarro Russo’ in Italy, and ‘Influencia Rusa’ in Spain, which in Russia itself it has been known as ‘Le catarrh Chinois,’ a term sufficiently explanatory of popular belief as to the country of its origin. Under one name or another it has been known in Europe as an epidemic since the middle of the thirteenth century, and it has prevailed in England on many occasions. Ten outbreaks are reported as having occurred in the eighteenth century, and four in the present century, in the years 1803, 1833, 1837, and 1847. The date of the last is sufficiently remote for the characteristics of the disease to be unknown, otherwise than by description, to the majority of the medical men now in practice; but, as far as can be ascertained from books, the chief symptoms have scarcely varied at different times. The epidemic of 1833, which almost immediately followed the first appearance of Asiatic cholera in England, was remarkable as having coincided with the commencement at a time in which the old practice of taking blood from the arm in a great variety of complaints began to lose ground in the estimation of observant men; and there seems little doubt that, from and after the period referred to, there occurred a more or less definite change in what has been called the type of disease, a change in which symptoms of depression of the powers of life were more conspicuous than symptoms of inflammation, and which afforded the largest measure of success to those practitioners who were careful to husband and sustain, rather than to depress, the vital energies of their patients. A very full and careful account of the metropolitan epidemic of 1847 has been preserved by the late Dr. Peacock, and in this epidemic, which commenced in November and was extremely fatal, the evidences of depression were universally conspicuous. The present system of registration of the causes of death, although not long introduced, and still hindered by many difficulties, was actually in operation; and, in the course of the six months during which the disease either prevailed or lingered, the deaths attributed to it in London amounted to 1,739, from which number it was estimated that about a quarter of a million of the inhabitants had been attacked. Moreover,  during the six weeks in which the epidemic was at its height, not less than 5,000 persons died, in the metropolitan districts, in excess of the ordinary mortality of the period, thus justifying the belief that many other ailments had been hastened to an unfavourable termination by the superaddition of influenza. The suggestion, however, which has been attributed to Professor Zdeckauer, to the effect that the epidemic now existing in Russia is probably premonitory of cholera in the spring, is one which appears to derive no support from either reason or experience. The two diseases are totally unlike one another, and probably the only recorded coincidence between them, even in point of time, is that, as already mentioned, influenza followed soon after cholera in the country in 1833. Apart from the depressing character of the disease, the most remarkable point in the history of influenza has been the rapidity with which each epidemic has invaded large areas of territory, and has attacked large numbers of people. The diffusion has usually been of such a kind as to preclude the probability of infection from person to person, and to suggest the operation of some general and widely diffused cause. It has been observed, moreover, that the epidemics have usually coincided with periods of increased prevalence of other disorders, such as the various forms of fever; but, unfortunately, at the date of the last prevalence, in 1847, the difference between these forms were not understood, and nothing was certainly known of the natural history or methods of diffusion of any of them. It may reasonably be hoped that the skill and experience which have been gained during recent years in tracing out the origin and modes of spreading of disease will come into play during the present outbreak, even if it should be confined to Russian soil; but the former history of the malady does not encourage the hope of any such limitation. If it should reach England, it will be curious to see whether the improved sanitary condition of the kingdom will differentiate the epidemic from those which have preceded it, and which, if contemporary descriptions of them may be trusted, have shown little dependence upon the conditions by which, in a general way, the public health is chiefly promoted or impaired. The late Dr. Theophilus Thompson, who edited a history of epidemic influenza for the Sydenham Society, says of the disease that ‘it exhibits, in the well-ordered mansions of modern days, phenomena similar to those which it presented in the time when rushes strewed the ground in the presence chamber of our monarchs and decaying animal and vegetable matter obstructed the porticoes of palaces.’ It may, perhaps, be doubted whether this assertion, in which something of complete accuracy may possibly be sacrificed to the felicitous turning of a sentence, will be confirmed by the more strict research of our time. It was published in 1852, and it is more than possible that the ‘well-ordered mansions’ of that date would fail to satisfy the sanitary tests which would be applied to them by a modern surveyor, and also that the spreading or the severity of the disease may be determined by conditions less coarse than, but equally deleterious with, the rushes and refuse of the historian. It has been abundantly shown, in the course of the last five-and-thirty years, that it is by no means impossible for a palace to conceal beneath its splendours conditions as insanitary as any which could be discovered in a hovel. As far as the information has at present reached us, the epidemic in Russia, although of very general diffusion, is of comparatively moderate severity. An enormous proportion of the population of St. Petersburg is said to have been attacked, but mortality is hardly mentioned. In this respect, at least, the outbreak bears favourable comparison with almost all preceding ones of which records have been preserved; and, if the malady is destined to run its usual course, and to traverse Europe generally, it may be hoped that its character of mildness may be preserved. In the interests of science, its arrest in Russia would possibly be a misfortune; for, if it should reach more scientific countries, it will certainly be subject to a more searching examination than is otherwise at all probable. We can hardly fancy an occupation more congenial to the mind of M. Pasteur, for example, than that of microbe hunting among the subjects of influenza; and the facts with which we are acquainted point with great probability to success in such an enterprise. In former times and in other countries, it has been observed that much illness among the lower animals has co-existed with influenza among mankind; and the part which may possibly be played by milk in the distribution of the poison is a question which seems to call for careful inquiry. To the scientific pathologist, indeed, the reappearance of a disease which has not visited this country for forty-two years would be a matter of the most lively interest, calculated to excite in him emotions parallel to those with which a sportsman would engage in the pursuit of some previously unknown game, or an archaeologist, before mummies were vulgarized, in the task of unrolling one. If we come to more practical considerations, we may remind our readers that diseases, however puzzling may be the conditions of their incidence, are not mysteries, but simply matters which we do not understand, because we have failed to study and observe the phenomena with sufficient care. In the absence of specific knowledge about the immediate cause of influenza, there is no doubt as to our possession of many sound generalities which we may usefully apply for our protection. Influenza is an epidemic catarrh, and there is much to e said in favour of the common belief that all catarrhal maladies are liable to be produced, or at least aggravated, by the effect of cold upon the surface of the body. This knowledge points to the use of plenty of underclothing, which affords warmth without undue weight, as well as to the desirableness of breathing through the nostrils, so that the air may be warmed and filtered in their winding passages before it is suffered to enter the chest. Many an old gentleman has contracted his last bronchitis from standing at a street-corner, in inclement weather, to talk and laugh with a friend, thus filling his lungs with volumes of cold and dirty air drawn directly through the widely opened mouth into the respiratory passages. These are among the simple matters concerning which few people learn wisdom until it is too late, and which yet appear almost too obvious to justify the occupation of time in talking about them. Another fertile source of liability to disease, even in ‘well-ordered mansions’ is the frequent stuffiness of the dwelling rooms, or the absence of any proper care that the air contained in them shall be renewed with a frequency proportionate to the number of occupants who require to breathe it. If people will lead rational lives, they may not, indeed, be able to bid defiance to an epidemic the channels of diffusion of which are as yet unknown to us; but they will certainly keep themselves in the best position for resisting its onslaught, or for minimizing the consequences of its occurrences.			
17	The Inquirer & Commercial News	England		Perth, Western Australia, Australia		1889-12-04T00:00:00Z	http://trove.nla.gov.au/ndp/del/article/66931341?searchTerm=influenza&searchLimits=exactPhrase|||anyWords|||notWords|||fromdd=25|||frommm=11|||fromyyyy=1889|||todd=01|||tomm=03|||toyyyy=1890|||l-category=Article|||l-category=Detailed+lists%2C+results%2C+guides|||l-category=Family+Notices|||l-category=Literature|||l-word=*ignore*%7C*ignore*|||sortby=dateAsc#pstart6603490	AN ALARMING OUTBREAK OF INFLUENZA. An alarming outbreak of influenza, assuming epidemic proportions, has occurred in various parts of England. It is feared to be the forerunner of an outbreak of cholera.	English	Cholera	
18	The Sun	St. Petersburg		New York City		1889-12-04T00:00:00Z	http://chroniclingamerica.loc.gov/lccn/sn83030272/1889-12-04/ed-1/seq-5/	Influenza in St. Petersburg. St. Petersburg, December 3. – There are 28,000 persons suffering from influenza in this city. The malady affects the people more or less in all the towns in Russia.			
19	El Siglo Futuro	Madrid				1889-12-05T00:00:00Z	http://hemerotecadigital.bne.es/issue.vm?id=0000139091&page=2&search=influenza&lang=en	Translation			
20	St. Paul Daily Globe	St. Petersburg		St Paul, MN		1889-12-06T00:00:00Z	http://chroniclingamerica.loc.gov/lccn/sn90059522/1889-12-06/ed-1/seq-1/	Influenza prostrates notables. St. Petersburg, Dec. 5.-Many notable persons, including Sir R. D. Morier, the British minister, and the grand duke Alexis, are suffering from influenza, which is now so prevalent in this city and throughout Russia.			
21	Freiburg Nachrichten	Greece; Persia; Russia		Freiburg		1889-12-07T00:00:00Z		Greece. That which in recent weeks telegrams have repeatedly mentioned as Dengue fever, as we quoted from the Journal of Geneva, doesn't belong to the murderous epidemics, but rather may be compared to a high grade influenza.  The symptoms are listed as chills, fever, headache, and great fatigue of the mind and body. That Dengue fever originates in the Orient, like so many other terrible guests, it appears in Russia since the year 57, and is also infamous in America and England as the "bone breaker" and has left pleasant memories  nowhere.  According to the newest reports, more members of the Russian royal family are ill with this currently raging fever.  The doctors fear that this epidemic could be a precursor of the currently raging cholera in Persia; it is associated with skin rashes and strong muscle contractions. 	German	Dengue fever, chills, fever, headache, fatigue, tsar, cholera 	http://doc.rero.ch/record/139120?ln=en
22	Philadelphia Inquirer	St. Petersburg		Philadelphia		1889-12-08T00:00:00Z		Cholera in Its Wake. The Disease Likely to Break Through into Europe. The Czar Ill. Special Cable to the Inquirer. London, Dec. 7.—It is more significant that this epidemic of influenza has generally been followed closely by a cholera wave, and though the British Medical Journal this week devotes a long leader to discrediting the possibility of any relation between the two, popular belief in the idea is firmly rooted. There certainly is cholera now in Persia and if it finds its way through South Russia into Europe next spring, nobody would be surprised. The present disease is, however, more irritating than dangerous Even in 1834, when it attained its most virulent form, the mortality was only 2 percent. This year a much smaller percentage of deaths is reported, but the contagion is spreading with unparalleled swiftness. The Czar himself has been ill with it a whole week and the British Legation at St. Petersburg are all down with it. The symptoms begin with headache, an acute chill developing into a high fever lasting several days and then a fortnight of great lassitude. Death intervenes only when plumonary [sic] oldema is superadded in cases of weakness. It is generally confined to the old and the very young. But the most prominent effect is to render the whole community and nation depressed and surly. Perhaps this is the reason why the St. Petersburg papers have suddenly raised a phenomenal cry about Austria’s having allowed the Bulgarian loan to be officially quoted on the Vienna and Perth exchanges.			
23	El Siglo Futuro	Denmark		Madrid		1889-12-09T00:00:00Z	http://hemerotecadigital.bne.es/issue.vm?id=0000139238&page=3&search=influenza&lang=en	The hygienic society of St. Petersburg held a meeting last Saturday to deal exclusively with the sickness, known as dengue or the flu, that has been reigning throughout the capital. The doctor, Zdekauer, one of the most prestigious doctors in St. Petersburg, explained his opinion about the epidemic in the following sentences; “The flu by itself is not a dangerous sickness; but due to special circumstances, we need to pay specific attention on this epidemic. Since I’ve been a doctor, cholera has invaded Russia four times, and those four invasions were preceded by the flu; one should fear that today’s epidemic is the precursor of another cholera invasion from Asia, and especially from Persia. The fear is that the flu microbe, after surviving the winter, will convert into the cholera microbe, or degenerate into it, giving me reason to think that next Spring, this will be of the biggest urgency to the sanitation department in St. Petersburg. The experiences from 1830, 1848, 1866 and 1884 when cholera was present has taught us that quarantines and sanitary cordons are not effective. Cholera develops with intensity in countries of poor health or in areas where the rules of hygiene aren’t practiced, like Spain and Italy, while it rarely invades England, whose sanitary conditions are very favorable.”	Spanish	dengue, St. Petersburg, 	
24	Camperdown Chronicle	St. Petersburg, Russia; Moscow, Russia; Vienna, Austria		Victoria, Australia		1889-12-10T00:00:00Z	http://trove.nla.gov.au/ndp/del/article/22476012?searchTerm=influenza&searchLimits=exactPhrase|||anyWords|||notWords|||fromdd=25|||frommm=11|||fromyyyy=1889|||todd=01|||tomm=03|||toyyyy=1890|||l-category=Article|||l-category=Detailed+lists%2C+results%2C+guides|||l-category=Family+Notices|||l-category=Literature|||l-word=*ignore*%7C*ignore*|||sortby=dateAsc#pstart3637712	OUTBREAK OF A MYSTERIOUS EPIDEMIC. THE DISEASE IN RUSSIA AND AUSTRIA. (REUTER'S TELEGRAM.) PETERSBURG, December 9. A mysterious epidemic, resembling influenza, which broke out here some days ago, and from which the Czar and members of the Imperial family, as well as half the population of Petersburg and Moscow are suffering, is rapidly spreading through Russia. The disease is so prevalent that it is seriously interfering with the transaction of daily business. Vienna, December 9. The epidemic of influenza which is prevailing in Russia, has now spread to Austria, and already many of the inhabitants of Vienna have been attacked by it.	English	Czar	
25	Launceston Examiner	Great Britain; Denmark; Austria		Tasmania, Australia		1889-12-10T00:00:00Z	http://trove.nla.gov.au/ndp/del/article/38359052?searchTerm=influenza&searchLimits=exactPhrase|||anyWords|||notWords|||fromdd=25|||frommm=11|||fromyyyy=1889|||todd=01|||tomm=03|||toyyyy=1890|||l-category=Article|||l-category=Detailed+lists%2C+results%2C+guides|||l-category=Family+Notices|||l-category=Literature|||l-word=*ignore*%7C*ignore*|||sortby=dateAsc#pstart3400472	AN UNPLEASANT SUSPICION. The peculiar form of influenza recently prevalent in Great Britain, which many medical men considered the precursor of an outbreak of cholera, has made its appearance in Denmark and Austria.	English	Cholera	
28	Pittsburg Dispatch	Paris		Pittsburgh		1889-12-10T00:00:00Z	http://chroniclingamerica.loc.gov/lccn/sn84024546/1889-12-10/ed-1/seq-1/	Extraordinary Epidemics. Influenza and Fever Alarmingly Prevalent in European Countries. A Paris cablegram states that fever is epidemic among employes in the Louvre. Four hundred of them are ill.			
29	The Kadina and Walleroo Times	Russia; Berlin, Germany; Vienna, Austria; Copenhagen, Denmark		South Australia, Australia		1889-12-11T00:00:00Z	http://trove.nla.gov.au/ndp/del/article/109097537?searchTerm=influenza&searchLimits=exactPhrase|||anyWords|||notWords|||l-textSearchScope=*ignore*%7C*ignore*|||fromdd=20|||frommm=11|||fromyyyy=1889|||todd=30|||tomm=01|||toyyyy=1890|||l-word=*ignore*%7C*ignore*|||sortby#pstart10407237	INFLUENZA EPIDEMIC. A serious type of influenza, for some time raging in Russia, has now spread to Vienna, Berlin and Copenhagen.	English	Serious; raging; epidemic	
30	The Argus	Russia; Berlin, Germany; Vienna, Austria; Copenhagen, Denmark		Melbourne, Victoria, Australia		1889-12-11T00:00:00Z	http://trove.nla.gov.au/ndp/del/article/8577993?searchTerm=influenza&searchLimits=exactPhrase|||anyWords|||notWords|||fromdd=25|||frommm=11|||fromyyyy=1889|||todd=01|||tomm=03|||toyyyy=1890|||l-category=Article|||l-category=Detailed+lists%2C+results%2C+guides|||l-category=Family+Notices|||l-category=Literature|||l-word=*ignore*%7C*ignore*|||sortby=dateAsc#pstart289032	NEW EPIDEMIC IN EUROPE. A SERIOUS FORM OF INFLUENZA. (BY CABLE FROM OUR CORRESPONDENT.) LONDON, DEC. 9. A new epidemic has appeared in Russia, its characteristics being those of a serious form of influenza. From Russia it is rapidly spreading to tho neighbouring countries, and it has already made its appearance in Berlin, Vienna, and Copenhagen.	English	Serious; spreading; epidemic	
31	The Mercury	Paris, France; Berlin, Germany; Austria; Copenhagen, Denmark		Hobart, Tasmania, Australia		1889-12-11T00:00:00Z	http://trove.nla.gov.au/ndp/del/article/9224946?searchTerm=influenza&searchLimits=exactPhrase|||anyWords|||notWords|||fromdd=25|||frommm=11|||fromyyyy=1889|||todd=01|||tomm=03|||toyyyy=1890|||l-category=Article|||l-category=Detailed+lists%2C+results%2C+guides|||l-category=Family+Notices|||l-category=Literature|||l-word=*ignore*%7C*ignore*|||sortby=dateAsc#pstart823650	EPIDEMICS ON THE CONTINENT. There is an epidemic of fever raging in Paris.     An influenza epidemic prevails in Berlin and Copenhagen, and in many country districts in Austria and Denmark.	English	Epidemic	
32	La Epóca 	Madrid				1889-12-11T00:00:00Z	http://hemerotecadigital.bne.es/issue.vm?id=0000521954&page=4&search=gripe+ruso+epidemia++influenza&lang=en	La Influenza          The epidemic referred to as influenza has developed in Paris with extraordinary rapidity.          The main focus points of the disease are the warehouses of the Louvre where 400 employees have been attacked by the disease and the central Post Administration where there are 200 sick.          The influenza has spread in the city of the Seine in shuch a way that there are causes of the disease in the neighborhoods most distant from the Louvre and the central Post Administration.          The symptoms of influenza are similar to those of the disease known as grippe.          Dr. Holland says that influenza develops in all seasons, crosses the world for an entire month, sometimes with a determined direction, and invades certain nearby localities at the same time with different intensities. Atmospheric changes do not affect the disease and sometimes it remains stationed in one locality without spreading to the surrounding areas.          Dr. Holland finished by saying that due to the nature of the disease its spread can only be attributed to atmospheric vicissitude.          The influenza presents suddenly and begins with violent fevers, red blotchy skin rashes, and general prostration in the infirm. The disease causes almost no mortality, but the mortality caused is generally among the elder who suffer extreme cases.          In Paris a Commission of doctors has been named to inform the public about the epidemic. The warehouses of the Louvre have suffered great losses, but no one has dare to visit since the day the news broke that 400 were affected there.          The London newspaper Standard affirms that the influenza has always preceded cholera; but the majority of doctors say that it is not guaranteed that this epidemic predestimes a choleric outbreak because cholera has a specific cause which needs intervention for the disease to spread. 	Spanish		
